,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA,210594,Lago dos Rodrigues,7,6,-1,"-14,3%",5,1,-4,"-80,0%",0,1,1,#DIV/0!,86,66,-20,"-23,3%",459,500,41,"8,9%",557,574,17,"3,1%"
,MA,210596,Lagoa Grande do Maranhão,3,2,-1,"-33,3%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,36,47,11,"30,6%",374,370,-4,"-1,1%",413,419,6,"1,5%"
,MA,210598,Lajeado Novo,76,82,6,"7,9%",0,0,0,#DIV/0!,1,32,31,"3100,0%",49,42,-7,"-14,3%",259,980,721,"278,4%",385,1.136,751,"195,1%"
,MA,210600,Lima Campos,5,15,10,"200,0%",21,29,8,"38,1%",2,0,-2,"-100,0%",99,103,4,"4,0%",534,45,-489,"-91,6%",661,192,-469,"-71,0%"
,MA,210610,Loreto,687,779,92,"13,4%",9,18,9,"100,0%",156,6,-150,"-96,2%",104,107,3,"2,9%",552,575,23,"4,2%",1.508,1.485,-23,"-1,5%"
,MA,210620,Luís Domingues,0,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,#DIV/0!,13,16,3,"23,1%",449,63,-386,"-86,0%",462,79,-383,"-82,9%"
,MA,210630,Magalhães de Almeida,104,108,4,"3,8%",0,0,0,#DIV/0!,3,13,10,"333,3%",71,64,-7,"-9,9%",1.227,1.504,277,"22,6%",1.405,1.689,284,"20,2%"
,MA,210632,Maracaçumé,43,3,-40,"-93,0%",16,21,5,"31,3%",4,6,2,"50,0%",201,175,-26,"-12,9%",1.404,673,-731,"-52,1%",1.668,878,-790,"-47,4%"
,MA,210635,Marajá do Sena,6,7,1,"16,7%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,5,7,2,"40,0%",270,329,59,"21,9%",281,343,62,"22,1%"
,MA,210637,Maranhãozinho,11,10,-1,"-9,1%",0,0,0,#DIV/0!,6,5,-1,"-16,7%",18,28,10,"55,6%",978,176,-802,"-82,0%",1.013,219,-794,"-78,4%"
,MA,210640,Mata Roma,91,92,1,"1,1%",2,5,3,"150,0%",60,7,-53,"-88,3%",74,68,-6,"-8,1%",693,736,43,"6,2%",920,908,-12,"-1,3%"
,MA,210650,Matinha,33,33,0,"0,0%",35,32,-3,"-8,6%",30,2,-28,"-93,3%",121,123,2,"1,7%",922,912,-10,"-1,1%",1.141,1.102,-39,"-3,4%"
,MA,210660,Matões,65,85,20,"30,8%",2,2,0,"0,0%",55,5,-50,"-90,9%",125,138,13,"10,4%",1.242,1.332,90,"7,2%",1.489,1.562,73,"4,9%"
,MA,210663,Matões do Norte,15,5,-10,"-66,7%",5,6,1,"20,0%",18,10,-8,"-44,4%",20,14,-6,"-30,0%",585,574,-11,"-1,9%",643,609,-34,"-5,3%"
,MA,210667,Milagres do Maranhão,6,8,2,"33,3%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,1,2,1,"100,0%",354,174,-180,"-50,8%",361,184,-177,"-49,0%"
,MA,210670,Mirador,238,173,-65,"-27,3%",55,0,-55,"-100,0%",1,34,33,"3300,0%",201,157,-44,"-21,9%",784,753,-31,"-4,0%",1.279,1.117,-162,"-12,7%"
,MA,210675,Miranda do Norte,122,110,-12,"-9,8%",94,91,-3,"-3,2%",15,120,105,"700,0%",327,339,12,"3,7%",1.608,73,-1.535,"-95,5%",2.166,733,-1.433,"-66,2%"
,MA,210680,Mirinzal,0,0,0,#DIV/0!,30,41,11,"36,7%",0,0,0,#DIV/0!,118,135,17,"14,4%",354,18,-336,"-94,9%",502,194,-308,"-61,4%"
,MA,210690,Monção,37,39,2,"5,4%",0,0,0,#DIV/0!,43,43,0,"0,0%",68,101,33,"48,5%",2.075,134,-1.941,"-93,5%",2.223,317,-1.906,"-85,7%"
,MA,210700,Montes Altos,44,44,0,"0,0%",1,4,3,"300,0%",1,2,1,"100,0%",41,32,-9,"-22,0%",372,341,-31,"-8,3%",459,423,-36,"-7,8%"
,MA,210710,Morros,1,1,0,"0,0%",1,0,-1,"-100,0%",61,31,-30,"-49,2%",100,94,-6,"-6,0%",1.489,208,-1.281,"-86,0%",1.652,334,-1.318,"-79,8%"
,MA,210720,Nina Rodrigues,0,0,0,#DIV/0!,199,267,68,"34,2%",6,8,2,"33,3%",15,19,4,"26,7%",366,346,-20,"-5,5%",586,640,54,"9,2%"
,MA,210725,Nova Colinas,40,49,9,"22,5%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,19,31,12,"63,2%",333,332,-1,"-0,3%",392,412,20,"5,1%"
,MA,210730,Nova Iorque,73,99,26,"35,6%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,11,10,-1,"-9,1%",262,296,34,"13,0%",346,405,59,"17,1%"
,MA,210735,Nova Olinda do Maranhão,34,32,-2,"-5,9%",17,17,0,"0,0%",1,1,0,"0,0%",61,63,2,"3,3%",389,519,130,"33,4%",502,632,130,"25,9%"
,MA,210740,Olho d'Água das Cunhãs,112,109,-3,"-2,7%",22,34,12,"54,5%",3,8,5,"166,7%",103,90,-13,"-12,6%",1.036,166,-870,"-84,0%",1.276,407,-869,"-68,1%"
,MA,210745,Olinda Nova do Maranhão,0,0,0,#DIV/0!,0,0,0,#DIV/0!,4,6,2,"50,0%",52,48,-4,"-7,7%",1.001,949,-52,"-5,2%",1.057,1.003,-54,"-5,1%"
,MA,210750,Paço do Lumiar,289,215,-74,"-25,6%",548,762,214,"39,1%",2.093,1.487,-606,"-29,0%",1.739,1.897,158,"9,1%",5.870,6.685,815,"13,9%",10.539,11.046,507,"4,8%"
,MA,210760,Palmeirândia,2,2,0,"0,0%",16,20,4,"25,0%",0,1,1,#DIV/0!,49,53,4,"8,2%",748,714,-34,"-4,5%",815,790,-25,"-3,1%"
,MA,210770,Paraibano,8,10,2,"25,0%",42,61,19,"45,2%",8,6,-2,"-25,0%",151,140,-11,"-7,3%",772,810,38,"4,9%",981,1.027,46,"4,7%"
,MA,210780,Parnarama,381,408,27,"7,1%",10,8,-2,"-20,0%",86,98,12,"14,0%",185,177,-8,"-4,3%",2.213,2.272,59,"2,7%",2.875,2.963,88,"3,1%"
,MA,210790,Passagem Franca,144,120,-24,"-16,7%",54,65,11,"20,4%",14,10,-4,"-28,6%",179,168,-11,"-6,1%",471,269,-202,"-42,9%",862,632,-230,"-26,7%"
,MA,210800,Pastos Bons,9,19,10,"111,1%",46,56,10,"21,7%",387,368,-19,"-4,9%",361,292,-69,"-19,1%",1.197,874,-323,"-27,0%",2.000,1.609,-391,"-19,6%"
,MA,210805,Paulino Neves,0,0,0,#DIV/0!,7,22,15,"214,3%",0,0,0,#DIV/0!,60,67,7,"11,7%",1.098,748,-350,"-31,9%",1.165,837,-328,"-28,2%"
,MA,210810,Paulo Ramos,13,34,21,"161,5%",1,2,1,"100,0%",9,11,2,"22,2%",114,108,-6,"-5,3%",786,205,-581,"-73,9%",923,360,-563,"-61,0%"
,MA,210820,Pedreiras,29,77,48,"165,5%",359,384,25,"7,0%",60,93,33,"55,0%",1.980,1.954,-26,"-1,3%",3.917,2.513,-1.404,"-35,8%",6.345,5.021,-1.324,"-20,9%"
,MA,210825,Pedro do Rosário,5,5,0,"0,0%",0,0,0,#DIV/0!,0,1,1,#DIV/0!,36,51,15,"41,7%",1.099,444,-655,"-59,6%",1.140,501,-639,"-56,1%"
,MA,210830,Penalva,3,2,-1,"-33,3%",0,0,0,#DIV/0!,2,1,-1,"-50,0%",187,201,14,"7,5%",1.879,580,-1.299,"-69,1%",2.071,784,-1.287,"-62,1%"
,MA,210840,Peri Mirim,8,4,-4,"-50,0%",26,19,-7,"-26,9%",0,0,0,#DIV/0!,31,30,-1,"-3,2%",648,640,-8,"-1,2%",713,693,-20,"-2,8%"
,MA,210845,Peritoró,42,71,29,"69,0%",111,138,27,"24,3%",1,1,0,"0,0%",166,182,16,"9,6%",1.345,121,-1.224,"-91,0%",1.665,513,-1.152,"-69,2%"
,MA,210850,Pindaré-Mirim,320,328,8,"2,5%",192,178,-14,"-7,3%",11,11,0,"0,0%",301,285,-16,"-5,3%",2.446,1.457,-989,"-40,4%",3.271,2.259,-1.012,"-30,9%"
,MA,210860,Pinheiro,15,17,2,"13,3%",249,257,8,"3,2%",192,245,53,"27,6%",2.516,2.449,-67,"-2,7%",4.561,5.695,1.134,"24,9%",7.533,8.663,1.130,"15,0%"
,MA,210870,Pio XII,5,3,-2,"-40,0%",85,0,-85,"-100,0%",3,12,9,"300,0%",104,118,14,"13,5%",2.165,1.354,-811,"-37,5%",2.362,1.487,-875,"-37,0%"
,MA,210880,Pirapemas,0,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,#DIV/0!,71,67,-4,"-5,6%",1.231,1.378,147,"11,9%",1.302,1.445,143,"11,0%"
,MA,210890,Poção de Pedras,9,14,5,"55,6%",2,2,0,"0,0%",0,0,0,#DIV/0!,74,70,-4,"-5,4%",730,57,-673,"-92,2%",815,143,-672,"-82,5%"
,MA,210900,Porto Franco,176,151,-25,"-14,2%",455,455,0,"0,0%",82,23,-59,"-72,0%",590,608,18,"3,1%",1.551,1.652,101,"6,5%",2.854,2.889,35,"1,2%"
,MA,210905,Porto Rico do Maranhão,0,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,#DIV/0!,4,5,1,"25,0%",290,262,-28,"-9,7%",294,267,-27,"-9,2%"
,MA,210910,Presidente Dutra,58,30,-28,"-48,3%",559,559,0,"0,0%",389,689,300,"77,1%",2.452,2.460,8,"0,3%",2.473,2.266,-207,"-8,4%",5.931,6.004,73,"1,2%"
,MA,210920,Presidente Juscelino,0,1,1,#DIV/0!,20,14,-6,"-30,0%",0,0,0,#DIV/0!,32,36,4,"12,5%",462,435,-27,"-5,8%",514,486,-28,"-5,4%"
,MA,210923,Presidente Médici,2,1,-1,"-50,0%",0,0,0,#DIV/0!,1,1,0,"0,0%",21,24,3,"14,3%",552,489,-63,"-11,4%",576,515,-61,"-10,6%"
,MA,210927,Presidente Sarney,0,0,0,#DIV/0!,0,0,0,#DIV/0!,5,0,-5,"-100,0%",25,30,5,"20,0%",495,610,115,"23,2%",525,640,115,"21,9%"
,MA,210930,Presidente Vargas,1,1,0,"0,0%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,8,10,2,"25,0%",412,448,36,"8,7%",421,459,38,"9,0%"
,MA,210940,Primeira Cruz,0,12,12,#DIV/0!,13,20,7,"53,8%",3,3,0,"0,0%",19,8,-11,"-57,9%",589,330,-259,"-44,0%",624,373,-251,"-40,2%"
,MA,210945,Raposa,10,9,-1,"-10,0%",195,258,63,"32,3%",191,178,-13,"-6,8%",420,446,26,"6,2%",1.286,1.270,-16,"-1,2%",2.102,2.161,59,"2,8%"
,MA,210950,Riachão,577,559,-18,"-3,1%",56,52,-4,"-7,1%",30,27,-3,"-10,0%",257,293,36,"14,0%",1.003,1.440,437,"43,6%",1.923,2.371,448,"23,3%"
,MA,210955,Ribamar Fiquene,125,127,2,"1,6%",29,40,11,"37,9%",1,6,5,"500,0%",57,64,7,"12,3%",480,433,-47,"-9,8%",692,670,-22,"-3,2%"
,MA,210960,Rosário,9,9,0,"0,0%",491,538,47,"9,6%",95,104,9,"9,5%",795,829,34,"4,3%",1.742,2.000,258,"14,8%",3.132,3.480,348,"11,1%"
,MA,210970,Sambaíba,630,674,44,"7,0%",1,2,1,"100,0%",61,71,10,"16,4%",38,44,6,"15,8%",447,447,0,"0,0%",1.177,1.238,61,"5,2%"
,MA,210975,Santa Filomena do Maranhão,7,6,-1,"-14,3%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,7,10,3,"42,9%",380,304,-76,"-20,0%",394,320,-74,"-18,8%"
,MA,210980,Santa Helena,9,9,0,"0,0%",18,14,-4,"-22,2%",44,72,28,"63,6%",391,401,10,"2,6%",1.939,501,-1.438,"-74,2%",2.401,997,-1.404,"-58,5%"
,MA,210990,Santa Inês,269,242,-27,"-10,0%",263,281,18,"6,8%",231,211,-20,"-8,7%",4.883,4.861,-22,"-0,5%",7.103,7.713,610,"8,6%",12.749,13.308,559,"4,4%"
,MA,211000,Santa Luzia,459,540,81,"17,6%",22,22,0,"0,0%",14,11,-3,"-21,4%",727,688,-39,"-5,4%",2.624,3.353,729,"27,8%",3.846,4.614,768,"20,0%"
,MA,211003,Santa Luzia do Paruá,24,9,-15,"-62,5%",8,3,-5,"-62,5%",4,41,37,"925,0%",314,317,3,"1,0%",1.911,2.004,93,"4,9%",2.261,2.374,113,"5,0%"
,MA,211010,Santa Quitéria do Maranhão,136,167,31,"22,8%",4,7,3,"75,0%",3,0,-3,"-100,0%",127,139,12,"9,4%",1.627,1.533,-94,"-5,8%",1.897,1.846,-51,"-2,7%"
,MA,211020,Santa Rita,27,27,0,"0,0%",106,174,68,"64,2%",7,13,6,"85,7%",558,569,11,"2,0%",907,761,-146,"-16,1%",1.605,1.544,-61,"-3,8%"
,MA,211023,Santana do Maranhão,70,27,-43,"-61,4%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,26,22,-4,"-15,4%",443,410,-33,"-7,4%",539,459,-80,"-14,8%"
,MA,211027,Santo Amaro do Maranhão,0,0,0,#DIV/0!,5,4,-1,"-20,0%",22,17,-5,"-22,7%",44,62,18,"40,9%",1.047,633,-414,"-39,5%",1.118,716,-402,"-36,0%"
,MA,211030,Santo Antônio dos Lopes,12,12,0,"0,0%",227,423,196,"86,3%",419,1.120,701,"167,3%",114,99,-15,"-13,2%",325,957,632,"194,5%",1.097,2.611,1.514,"138,0%"
,MA,211040,São Benedito do Rio Preto,40,27,-13,"-32,5%",6,5,-1,"-16,7%",13,22,9,"69,2%",113,107,-6,"-5,3%",1.280,778,-502,"-39,2%",1.452,939,-513,"-35,3%"
,MA,211050,São Bento,0,0,0,#DIV/0!,20,15,-5,"-25,0%",1,9,8,"800,0%",474,544,70,"14,8%",1.026,1.085,59,"5,8%",1.521,1.653,132,"8,7%"
,MA,211060,São Bernardo,2,10,8,"400,0%",87,116,29,"33,3%",19,7,-12,"-63,2%",379,401,22,"5,8%",573,1.107,534,"93,2%",1.060,1.641,581,"54,8%"
,MA,211065,São Domingos do Azeitão,141,172,31,"22,0%",25,12,-13,"-52,0%",19,17,-2,"-10,5%",185,242,57,"30,8%",586,503,-83,"-14,2%",956,946,-10,"-1,0%"
,MA,211070,São Domingos do Maranhão,26,44,18,"69,2%",31,48,17,"54,8%",25,31,6,"24,0%",771,489,-282,"-36,6%",2.151,2.062,-89,"-4,1%",3.004,2.674,-330,"-11,0%"
,MA,211080,São Félix de Balsas,126,128,2,"1,6%",0,0,0,#DIV/0!,4,10,6,"150,0%",11,10,-1,"-9,1%",491,261,-230,"-46,8%",632,409,-223,"-35,3%"
,MA,211085,São Francisco do Brejão,97,114,17,"17,5%",44,39,-5,"-11,4%",0,0,0,#DIV/0!,51,50,-1,"-2,0%",357,787,430,"120,4%",549,990,441,"80,3%"
,MA,211090,São Francisco do Maranhão,4,24,20,"500,0%",0,0,0,#DIV/0!,2,0,-2,"-100,0%",23,23,0,"0,0%",528,29,-499,"-94,5%",558,76,-482,"-86,4%"
,MA,211100,São João Batista,0,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,#DIV/0!,70,59,-11,"-15,7%",1.086,384,-702,"-64,6%",1.156,443,-713,"-61,7%"
,MA,211102,São João do Carú,24,15,-9,"-37,5%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,42,39,-3,"-7,1%",494,498,4,"0,8%",560,552,-8,"-1,4%"
,MA,211105,São João do Paraíso,67,54,-13,"-19,4%",0,12,12,#DIV/0!,0,0,0,#DIV/0!,84,90,6,"7,1%",672,939,267,"39,7%",823,1.095,272,"33,0%"
,MA,211107,São João do Soter,42,64,22,"52,4%",9,18,9,"100,0%",0,0,0,#DIV/0!,25,34,9,"36,0%",826,394,-432,"-52,3%",902,510,-392,"-43,5%"
,MA,211110,São João dos Patos,126,159,33,"26,2%",104,151,47,"45,2%",62,174,112,"180,6%",654,660,6,"0,9%",1.373,1.266,-107,"-7,8%",2.319,2.410,91,"3,9%"
,MA,211120,São José de Ribamar,118,102,-16,"-13,6%",1.457,1.559,102,"7,0%",2.100,1.983,-117,"-5,6%",5.960,5.848,-112,"-1,9%",11.825,11.446,-379,"-3,2%",21.460,20.938,-522,"-2,4%"
,MA,211125,São José dos Basílios,4,5,1,"25,0%",0,37,37,#DIV/0!,34,15,-19,"-55,9%",13,14,1,"7,7%",206,231,25,"12,1%",257,302,45,"17,5%"
,MA,211130,São Luís,318,433,115,"36,2%",17.039,18.591,1.552,"9,1%",30.336,29.537,-799,"-2,6%",63.637,66.681,3.044,"4,8%",282.727,311.403,28.676,"10,1%",394.063,426.645,32.582,"8,3%"
,MA,211140,São Luís Gonzaga do Maranhão,80,82,2,"2,5%",0,2,2,#DIV/0!,20,13,-7,"-35,0%",73,66,-7,"-9,6%",23,1.317,1.294,"5626,1%",196,1.480,1.284,"655,1%"
,MA,211150,São Mateus do Maranhão,50,46,-4,"-8,0%",44,69,25,"56,8%",25,139,114,"456,0%",530,602,72,"13,6%",1.843,1.260,-583,"-31,6%",2.492,2.116,-376,"-15,1%"
,MA,211153,São Pedro da Água Branca,21,12,-9,"-42,9%",42,26,-16,"-38,1%",26,42,16,"61,5%",127,156,29,"22,8%",460,575,115,"25,0%",676,811,135,"20,0%"
,MA,211157,São Pedro dos Crentes,73,14,-59,"-80,8%",0,0,0,#DIV/0!,14,0,-14,"-100,0%",57,56,-1,"-1,8%",295,448,153,"51,9%",439,518,79,"18,0%"
,MA,211160,São Raimundo das Mangabeiras,583,741,158,"27,1%",836,804,-32,"-3,8%",132,117,-15,"-11,4%",460,512,52,"11,3%",1.348,2.379,1.031,"76,5%",3.359,4.553,1.194,"35,5%"
,MA,211163,São Raimundo do Doca Bezerra,8,7,-1,"-12,5%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,7,14,7,"100,0%",369,311,-58,"-15,7%",384,332,-52,"-13,5%"
,MA,211167,São Roberto,5,5,0,"0,0%",0,0,0,#DIV/0!,0,3,3,#DIV/0!,6,7,1,"16,7%",500,658,158,"31,6%",511,673,162,"31,7%"
,MA,211170,São Vicente Ferrer,0,0,0,#DIV/0!,2,2,0,"0,0%",3,3,0,"0,0%",95,99,4,"4,2%",1.276,687,-589,"-46,2%",1.376,791,-585,"-42,5%"
,MA,211172,Satubinha,3,2,-1,"-33,3%",0,77,77,#DIV/0!,0,0,0,#DIV/0!,10,12,2,"20,0%",432,502,70,"16,2%",445,593,148,"33,3%"
,MA,211174,Senador Alexandre Costa,47,17,-30,"-63,8%",0,0,0,#DIV/0!,1,0,-1,"-100,0%",42,47,5,"11,9%",365,250,-115,"-31,5%",455,314,-141,"-31,0%"
,MA,211176,Senador La Rocque,130,144,14,"10,8%",0,8,8,#DIV/0!,2,19,17,"850,0%",106,112,6,"5,7%",674,399,-275,"-40,8%",912,682,-230,"-25,2%"
,MA,211178,Serrano do Maranhão,0,0,0,#DIV/0!,7,6,-1,"-14,3%",0,0,0,#DIV/0!,9,10,1,"11,1%",490,165,-325,"-66,3%",506,181,-325,"-64,2%"
,MA,211180,Sítio Novo,73,37,-36,"-49,3%",29,54,25,"86,2%",0,0,0,#DIV/0!,99,102,3,"3,0%",892,1.025,133,"14,9%",1.093,1.218,125,"11,4%"
,MA,211190,Sucupira do Norte,115,196,81,"70,4%",0,1,1,#DIV/0!,0,0,0,#DIV/0!,85,85,0,"0,0%",442,474,32,"7,2%",642,756,114,"17,8%"
,MA,211195,Sucupira do Riachão,7,9,2,"28,6%",6,8,2,"33,3%",0,0,0,#DIV/0!,24,28,4,"16,7%",173,187,14,"8,1%",210,232,22,"10,5%"
,MA,211200,Tasso Fragoso,1.402,1.492,90,"6,4%",23,8,-15,"-65,2%",16,29,13,"81,3%",129,134,5,"3,9%",731,1.257,526,"72,0%",2.301,2.920,619,"26,9%"
,MA,211210,Timbiras,40,39,-1,"-2,5%",5,9,4,"80,0%",0,0,0,#DIV/0!,227,254,27,"11,9%",1.795,1.883,88,"4,9%",2.067,2.185,118,"5,7%"
,MA,211220,Timon,147,78,-69,"-46,9%",2.249,2.399,150,"6,7%",350,786,436,"124,6%",4.724,4.938,214,"4,5%",9.500,9.981,481,"5,1%",16.970,18.182,1.212,"7,1%"
,MA,211223,Trizidela do Vale,13,13,0,"0,0%",159,185,26,"16,4%",59,55,-4,"-6,8%",370,338,-32,"-8,6%",853,947,94,"11,0%",1.454,1.538,84,"5,8%"
,MA,211227,Tufilândia,11,10,-1,"-9,1%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,6,10,4,"66,7%",918,6,-912,"-99,3%",935,26,-909,"-97,2%"
,MA,211230,Tuntum,122,112,-10,"-8,2%",70,81,11,"15,7%",1,1,0,"0,0%",280,270,-10,"-3,6%",1.107,1.146,39,"3,5%",1.580,1.610,30,"1,9%"
,MA,211240,Turiaçu,6,5,-1,"-16,7%",4,2,-2,"-50,0%",3,4,1,"33,3%",88,95,7,"8,0%",1.337,153,-1.184,"-88,6%",1.438,259,-1.179,"-82,0%"
,MA,211245,Turilândia,29,27,-2,"-6,9%",0,0,0,#DIV/0!,7,9,2,"28,6%",26,21,-5,"-19,2%",1.174,641,-533,"-45,4%",1.236,698,-538,"-43,5%"
,MA,211250,Tutóia,1,1,0,"0,0%",136,134,-2,"-1,5%",11,5,-6,"-54,5%",867,911,44,"5,1%",2.404,1.140,-1.264,"-52,6%",3.419,2.191,-1.228,"-35,9%"
,MA,211260,Urbano Santos,324,507,183,"56,5%",2,2,0,"0,0%",15,6,-9,"-60,0%",562,518,-44,"-7,8%",1.912,1.455,-457,"-23,9%",2.815,2.488,-327,"-11,6%"
,MA,211270,Vargem Grande,127,127,0,"0,0%",89,98,9,"10,1%",7,145,138,"1971,4%",636,651,15,"2,4%",2.024,3.319,1.295,"64,0%",2.883,4.340,1.457,"50,5%"
,MA,211280,Viana,16,11,-5,"-31,3%",16,14,-2,"-12,5%",13,17,4,"30,8%",837,889,52,"6,2%",1.669,1.246,-423,"-25,3%",2.551,2.177,-374,"-14,7%"
,MA,211285,Vila Nova dos Martírios,518,401,-117,"-22,6%",54,50,-4,"-7,4%",0,1,1,#DIV/0!,59,66,7,"11,9%",723,437,-286,"-39,6%",1.354,955,-399,"-29,5%"
,MA,211290,Vitória do Mearim,15,14,-1,"-6,7%",7,4,-3,"-42,9%",13,18,5,"38,5%",392,351,-41,"-10,5%",1.190,1.729,539,"45,3%",1.617,2.116,499,"30,9%"
,MA,211300,Vitorino Freire,166,163,-3,"-1,8%",12,31,19,"158,3%",8,3,-5,"-62,5%",350,350,0,"0,0%",1.717,1.874,157,"9,1%",2.253,2.421,168,"7,5%"
,MA,211400,Zé Doca,20,12,-8,"-40,0%",57,59,2,"3,5%",20,188,168,"840,0%",887,829,-58,"-6,5%",3.046,1.535,-1.511,"-49,6%",4.030,2.623,-1.407,"-34,9%"
,PI,220005,Acauã,1,1,0,"0,0%",24,17,-7,"-29,2%",0,14,14,#DIV/0!,20,24,4,"20,0%",285,271,-14,"-4,9%",330,327,-3,"-0,9%"
,PI,220010,Agricolândia,0,2,2,#DIV/0!,2,5,3,"150,0%",1,2,1,"100,0%",33,38,5,"15,2%",143,143,0,"0,0%",179,190,11,"6,1%"
,PI,220020,Água Branca,5,6,1,"20,0%",124,157,33,"26,6%",71,39,-32,"-45,1%",861,858,-3,"-0,3%",790,777,-13,"-1,6%",1.851,1.837,-14,"-0,8%"
,PI,220025,Alagoinha do Piauí,0,0,0,#DIV/0!,0,0,0,#DIV/0!,2,0,-2,"-100,0%",13,19,6,"46,2%",238,241,3,"1,3%",253,260,7,"2,8%"
,PI,220027,Alegrete do Piauí,0,0,0,#DIV/0!,2,2,0,"0,0%",1,1,0,"0,0%",13,13,0,"0,0%",221,228,7,"3,2%",237,244,7,"3,0%"
,PI,220030,Alto Longá,3,4,1,"33,3%",15,19,4,"26,7%",10,4,-6,"-60,0%",126,121,-5,"-4,0%",648,642,-6,"-0,9%",802,790,-12,"-1,5%"
,PI,220040,Altos,81,104,23,"28,4%",244,351,107,"43,9%",344,366,22,"6,4%",867,1.369,502,"57,9%",2.020,2.805,785,"38,9%",3.556,4.995,1.439,"40,5%"
,PI,220045,Alvorada do Gurguéia,24,21,-3,"-12,5%",1,1,0,"0,0%",13,0,-13,"-100,0%",30,30,0,"0,0%",423,651,228,"53,9%",491,703,212,"43,2%"
,PI,220050,Amarante,2,7,5,"250,0%",32,20,-12,"-37,5%",46,170,124,"269,6%",206,189,-17,"-8,3%",600,690,90,"15,0%",886,1.076,190,"21,4%"
,PI,220060,Angical do Piauí,8,6,-2,"-25,0%",1,5,4,"400,0%",0,0,0,#DIV/0!,111,129,18,"16,2%",230,231,1,"0,4%",350,371,21,"6,0%"
,PI,220070,Anísio de Abreu,0,0,0,#DIV/0!,18,17,-1,"-5,6%",20,10,-10,"-50,0%",105,101,-4,"-3,8%",417,478,61,"14,6%",560,606,46,"8,2%"
,PI,220080,Antônio Almeida,40,151,111,"277,5%",203,102,-101,"-49,8%",0,6,6,#DIV/0!,38,29,-9,"-23,7%",269,303,34,"12,6%",550,591,41,"7,5%"
,PI,220090,Aroazes,25,28,3,"12,0%",1,1,0,"0,0%",0,37,37,#DIV/0!,65,56,-9,"-13,8%",246,289,43,"17,5%",337,411,74,"22,0%"
,PI,220095,Aroeiras do Itaim,1,0,-1,"-100,0%",58,62,4,"6,9%",3,0,-3,"-100,0%",0,2,2,#DIV/0!,125,219,94,"75,2%",187,283,96,"51,3%"
,PI,220100,Arraial,0,1,1,#DIV/0!,2,2,0,"0,0%",3,2,-1,"-33,3%",35,31,-4,"-11,4%",299,249,-50,"-16,7%",339,285,-54,"-15,9%"
,PI,220105,Assunção do Piauí,0,0,0,#DIV/0!,0,0,0,#DIV/0!,4,4,0,"0,0%",9,10,1,"11,1%",526,292,-234,"-44,5%",539,306,-233,"-43,2%"
,PI,220110,Avelino Lopes,14,11,-3,"-21,4%",6,6,0,"0,0%",25,22,-3,"-12,0%",53,56,3,"5,7%",436,416,-20,"-4,6%",534,511,-23,"-4,3%"
,PI,220115,Baixa Grande do Ribeiro,2.312,2.582,270,"11,7%",49,33,-16,"-32,7%",58,130,72,"124,1%",315,431,116,"36,8%",422,1.030,608,"144,1%",3.156,4.206,1.050,"33,3%"
,PI,220117,Barra D'Alcântara,0,0,0,#DIV/0!,0,0,0,#DIV/0!,2,2,0,"0,0%",29,23,-6,"-20,7%",219,218,-1,"-0,5%",250,243,-7,"-2,8%"
,PI,220120,Barras,30,19,-11,"-36,7%",180,215,35,"19,4%",65,65,0,"0,0%",680,716,36,"5,3%",2.632,2.128,-504,"-19,1%",3.587,3.143,-444,"-12,4%"
,PI,220130,Barreiras do Piauí,117,140,23,"19,7%",1,6,5,"500,0%",1,2,1,"100,0%",2,7,5,"250,0%",132,134,2,"1,5%",253,289,36,"14,2%"
,PI,220140,Barro Duro,0,0,0,#DIV/0!,3,5,2,"66,7%",39,99,60,"153,8%",152,75,-77,"-50,7%",413,354,-59,"-14,3%",607,533,-74,"-12,2%"
,PI,220150,Batalha,14,19,5,"35,7%",15,23,8,"53,3%",135,22,-113,"-83,7%",243,266,23,"9,5%",1.223,1.172,-51,"-4,2%",1.630,1.502,-128,"-7,9%"
